measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,911.9375,313.2528,338.2344,1502.2344,2146.6359,64877
microtubule,2,3,1048.6875,343.7759,236.2344,1671.2344,2436.2201,73629
microtubule,3,3,907.2344,145.8525,621.2344,1212.2344,2136.6765,64576
microtubule,1,1,44.6406,16.6908,16,100,308.4112,9321
microtubule,2,1,20.2656,11.377,-2,53,256.7943,7761
microtubule,3,1,87.2188,88.9447,26,691,398.5754,12046
microtubule,1,2,224.1562,24.4389,158.4531,304.4531,693.95,20973
microtubule,2,2,240.1406,26.6511,160.4531,307.4531,727.7988,21996
microtubule,3,2,253.25,29.0053,163.4531,331.4531,755.5595,22835
cytoplasm,1,3,201.0938,55.4934,121.2344,356.2344,641.3404,19383
cytoplasm,2,3,212.2188,39.5926,144.2344,340.2344,664.8989,20095
cytoplasm,3,3,72.8906,13.4886,42.2344,103.2344,369.8552,11178
cytoplasm,1,1,41.5781,24.1193,5,122,301.926,9125
cytoplasm,2,1,77.5781,24.5304,29,131,378.1602,11429
cytoplasm,3,1,20.7031,13.675,-2,54,257.7207,7789
cytoplasm,1,2,135.7812,28.7474,81.4531,202.4531,506.8055,15317
cytoplasm,2,2,310.9062,28.6915,260.4531,373.4531,877.6534,26525
cytoplasm,3,2,120.2812,20.814,66.4531,172.4531,473.9824,14325
