measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,919.8438,182.7621,489.1562,1185.1562,2176.2495,65772
microtubule,2,3,792.9531,76.4637,647.1562,988.1562,1907.5436,57651
microtubule,3,3,708.75,181.2909,387.1562,1048.1562,1729.2336,52262
microtubule,1,1,137.9531,36.1847,74.9219,213.9219,512.5297,15490
microtubule,2,1,111.9531,36.8291,56.9219,220.9219,457.4716,13826
microtubule,3,1,91.3281,30.1303,24.9219,145.9219,413.7958,12506
microtubule,1,2,54.4688,12.2005,28.3281,85.3281,332.7638,10057
microtubule,2,2,45.7344,11.0622,24.3281,70.3281,314.2677,9498
microtubule,3,2,42.4062,10.2172,19.3281,71.3281,307.22,9285
cytoplasm,1,3,22.375,8.2433,3.1562,40.1562,275.7536,8334
cytoplasm,2,3,39.7969,10.8047,16.1562,68.1562,312.6464,9449
cytoplasm,3,3,29.4844,8.2039,9.1562,47.1562,290.8085,8789
cytoplasm,1,1,59.6094,24.3759,14.9219,116.9219,346.6276,10476
cytoplasm,2,1,132.7969,32.8926,65.9219,229.9219,501.6107,15160
cytoplasm,3,1,104.9219,24.2087,48.9219,174.9219,442.5821,13376
cytoplasm,1,2,27.5469,8.2433,8.3281,45.3281,275.7536,8334
cytoplasm,2,2,44.9688,10.8047,21.3281,73.3281,312.6464,9449
cytoplasm,3,2,34.6562,8.2039,14.3281,52.3281,290.8085,8789
