measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1610.9062,502.204,724.6562,2495.6562,3628.0089,109648
microtubule,2,3,1668.8906,318.9539,1098.6562,2185.6562,3750.7976,113359
microtubule,3,3,1285.5625,314.4924,507.6562,1830.6562,2939.0551,88826
microtubule,1,1,99.9062,34.5777,32.6562,161.6562,424.053,12816
microtubule,2,1,98.375,53.7211,23.6562,223.6562,420.8104,12718
microtubule,3,1,94.0312,40.4241,31.6562,195.6562,411.612,12440
microtubule,1,2,248,23.9405,199.1562,312.1562,747.1882,22582
microtubule,2,2,224.4219,23.1683,167.1562,273.1562,697.2588,21073
microtubule,3,2,223.2812,19.0692,190.1562,287.1562,694.8434,21000
cytoplasm,1,3,270.3438,66.2269,122.6562,409.6562,789.2097,23852
cytoplasm,2,3,253.0781,54.1215,127.6562,388.6562,752.6477,22747
cytoplasm,3,3,388.6094,96.9712,270.6562,666.6562,1039.6511,31421
cytoplasm,1,1,77.8438,29.0887,25.6562,150.6562,377.333,11404
cytoplasm,2,1,67.1875,19.0546,29.6562,108.6562,354.7672,10722
cytoplasm,3,1,77.2031,27.3437,32.6562,139.6562,375.9764,11363
cytoplasm,1,2,212.1719,19.4279,175.1562,255.1562,671.318,20289
cytoplasm,2,2,182.5938,28.2702,123.1562,245.1562,608.6828,18396
cytoplasm,3,2,233.4375,27.3336,179.1562,309.1562,716.3504,21650
