measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1211.3281,177.0834,725.6719,1455.6719,2953.3491,89258
microtubule,2,3,1375.6875,171.1127,883.6719,1723.6719,3301.3994,99777
microtubule,3,3,935.7188,182.8413,614.6719,1277.6719,2369.7137,71619
microtubule,1,1,27.9688,14.4616,-0.09375,63.9062,302.9517,9156
microtubule,2,1,51.2031,21.5109,11.9062,98.9062,352.1532,10643
microtubule,3,1,44.1719,22.6444,3.9062,91.9062,337.2637,10193
microtubule,1,2,1986.7031,81.1669,1791.0469,2180.0469,4507.6806,136234
microtubule,2,2,1804.3125,63.4408,1666.0469,1995.0469,4121.447,124561
microtubule,3,2,1825.7031,64.5436,1683.0469,1958.0469,4166.7441,125930
cytoplasm,1,3,73,40.3438,-8.3281,184.6719,542.805,16405
cytoplasm,2,3,131.2344,67.127,33.6719,245.6719,666.1232,20132
cytoplasm,3,3,85.2656,36.8811,1.6719,184.6719,568.7789,17190
cytoplasm,1,1,12.0625,14.8144,-14.0938,57.9062,269.2684,8138
cytoplasm,2,1,10.2031,10.4846,-14.0938,30.9062,265.3309,8019
cytoplasm,3,1,29.0156,17.4148,-4.0938,65.9062,305.1686,9223
cytoplasm,1,2,1084.5781,106.2517,869.0469,1320.0469,2597.3245,78498
cytoplasm,2,2,861.7188,119.6345,637.0469,1110.0469,2125.3935,64235
cytoplasm,3,2,1554.8906,186.7713,1081.0469,1859.0469,3593.2667,108598
