measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1033.2188,277.083,332,1561,2412.43,72910
microtubule,2,3,1223.5938,352.5132,580,1812,2815.5715,85094
microtubule,3,3,1386.0156,268.3083,854,1976,3159.519,95489
microtubule,1,1,90.375,22.4477,48.6875,146.6875,405.9209,12268
microtubule,2,1,88.1719,23.3299,47.6875,179.6875,401.2555,12127
microtubule,3,1,82.6562,29.3733,35.6875,164.6875,389.5755,11774
microtubule,1,2,72.9531,15.3007,35.9688,116.9688,376.9029,11391
microtubule,2,2,80.1562,13.2556,43.9688,104.9688,392.1564,11852
microtubule,3,2,83.4375,16.3017,53.9688,128.9688,399.1048,12062
cytoplasm,1,3,384.8906,84.0457,171,599,1039.5188,31417
cytoplasm,2,3,139.3594,32.8075,78,215,519.5774,15703
cytoplasm,3,3,164.4688,66.7568,66,324,572.7495,17310
cytoplasm,1,1,62.9844,17.4444,27.6875,103.6875,347.918,10515
cytoplasm,2,1,67.7656,23.2627,30.6875,124.6875,358.0429,10821
cytoplasm,3,1,46.5625,19.2581,18.6875,98.6875,313.1427,9464
cytoplasm,1,2,65.8438,12.4141,34.9688,92.9688,361.848,10936
cytoplasm,2,2,61.0312,14.3459,26.9688,87.9688,351.6569,10628
cytoplasm,3,2,51.2188,10.5047,24.9688,71.9688,330.8778,10000
