Search_name,Search_category
control-DarkMito_FKBP-GFP-E4,Control E4
control-DarkMito_FKBP-GFP-E7,Control E7
control-DarkMito_FKBP-GFP-E8,Control E8
rapa-DarkMito_FKBP-GFP-E4,Rapamycin E4
rapa-DarkMito_FKBP-GFP-E7,Rapamycin E7
rapa-DarkMito_FKBP-GFP-E8,Rapamycin E8
