 ,Area,Mean,StdDev,Min,Max,Major,Minor,Angle,IntDen,RawIntDen
1,15352,142.687,4.541,43,169,227.933,85.757,0,2190534,2190534
2,15352,143.487,4.539,80,177,227.933,85.757,0,2172108,2172108
3,15352,138.329,7.37,94,175,227.933,85.757,0,2123622,2123622
4,15352,143.924,4.808,0,172,227.933,85.757,0,2209517,2209517
5,15352,133.641,11.844,76,180,227.933,85.757,0,2051660,2051660
6,15352,144.933,4.402,93,171,227.933,85.757,0,2225012,2225012
7,15352,24.782,6.723,20,120,227.933,85.757,0,380453,380453
8,15352,144.001,4.408,99,198,227.933,85.757,0,2210711,2210711
